                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1344,                 3.1528,                   3.65,                0.55242,                0.38046,                0.34487,                0.19908,                 1.3962,                 1.8027,                   3.68,             0.00054935,             0.00054935,             0.00054935
                      2,                 1.6227,                 1.6924,                 3.1501,                0.61974,                0.60351,                0.56201,                0.34436,                 1.2852,                 1.4183,                 3.2294,              0.0010831,              0.0010831,              0.0010831
                      3,                 1.4947,                 1.3159,                 2.9807,                 0.7066,                0.61265,                0.64054,                0.39638,                  1.286,                 1.1413,                 3.0155,              0.0015949,              0.0015949,              0.0015949
                      4,                 1.4484,                 1.2469,                 2.8676,                0.70634,                0.67048,                0.68494,                0.43027,                 1.1825,                 1.0494,                 3.0237,               0.001568,               0.001568,               0.001568
                      5,                 1.3753,                 1.1877,                 2.8155,                0.77701,                0.66415,                0.69021,                 0.4557,                 1.1389,                 1.0312,                 2.8733,               0.001535,               0.001535,               0.001535
                      6,                  1.291,                 1.0922,                 2.7279,                0.75761,                0.68477,                  0.717,                 0.4779,                 1.1114,                0.95359,                 2.7621,               0.001502,               0.001502,               0.001502
                      7,                 1.2661,                 1.0116,                  2.623,                0.76372,                0.65557,                0.69816,                 0.4819,                 1.0741,                0.98689,                 2.6956,               0.001469,               0.001469,               0.001469
                      8,                 1.2303,                0.98279,                 2.5842,                0.81549,                0.66274,                0.72291,                0.50436,                 1.0433,                0.90143,                 2.8229,               0.001436,               0.001436,               0.001436
                      9,                 1.1961,                0.95191,                 2.5814,                0.77611,                0.69635,                0.72833,                0.50113,                 1.0543,                0.89771,                 2.6769,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.1955,                0.95256,                  2.559,                0.79082,                 0.6792,                0.73101,                0.50445,                 1.0343,                 0.9032,                 2.6519,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.1909,                0.90893,                 2.5257,                0.79857,                0.71545,                0.73677,                0.52008,                 1.0455,                 0.8829,                 2.6095,              0.0013369,              0.0013369,              0.0013369
                     12,                  1.138,                0.85401,                 2.4357,                0.80485,                0.70089,                0.74949,                 0.5332,                  1.037,                0.90848,                 2.5219,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.1461,                0.87415,                 2.5362,                0.80182,                0.68998,                0.75727,                 0.5447,                0.95228,                0.85707,                 2.5439,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.0632,                 0.8452,                 2.3858,                0.78674,                0.72912,                0.75083,                0.54239,                0.98802,                0.87368,                 2.4702,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.0787,                0.81607,                 2.3406,                  0.833,                0.70169,                0.74923,                0.53762,                0.94853,                  0.829,                 2.4807,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.0662,                0.82024,                 2.3809,                0.81404,                0.72678,                0.76392,                0.55121,                0.95776,                0.83394,                  2.594,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.0686,                0.80634,                 2.3239,                 0.8346,                0.70559,                0.76566,                0.55191,                0.97367,                0.82916,                 2.5344,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.0728,                0.79713,                 2.3175,                0.81843,                0.70463,                0.75992,                0.54393,                 1.0126,                0.84345,                 2.4928,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.0318,                0.78336,                 2.3419,                0.85711,                0.66565,                0.73756,                0.53849,                0.96341,                0.87422,                 2.4823,              0.0010729,              0.0010729,              0.0010729
                     20,                  1.026,                0.77221,                 2.3293,                0.82406,                0.71993,                0.75697,                  0.549,                0.94831,                0.82973,                 2.4424,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.0114,                0.77553,                 2.2818,                0.86542,                0.70606,                0.76707,                0.56245,                0.93049,                0.79912,                   2.44,              0.0010069,              0.0010069,              0.0010069
                     22,                0.98852,                0.72907,                 2.2656,                0.82863,                0.71718,                0.76383,                0.56632,                0.91787,                0.78752,                 2.4203,             0.00097386,             0.00097386,             0.00097386
                     23,                0.94891,                0.74537,                 2.2116,                0.82211,                0.70926,                0.77386,                0.58358,                0.90144,                 0.7804,                 2.4175,             0.00094085,             0.00094085,             0.00094085
                     24,                0.98155,                0.74922,                 2.2677,                0.80706,                0.72519,                0.76527,                0.57175,                0.91015,                0.77829,                  2.422,             0.00090785,             0.00090785,             0.00090785
                     25,                0.97426,                0.72227,                   2.25,                0.84975,                0.70099,                0.76048,                0.56968,                0.90289,                0.81121,                 2.3891,             0.00087484,             0.00087484,             0.00087484
                     26,                0.96609,                0.72027,                 2.2419,                0.82397,                 0.7321,                0.77054,                0.57531,                0.89636,                0.78071,                 2.3508,             0.00084184,             0.00084184,             0.00084184
                     27,                  0.931,                0.69338,                 2.1792,                0.82831,                0.73083,                0.77709,                0.57929,                0.90718,                0.77694,                 2.4253,             0.00080883,             0.00080883,             0.00080883
                     28,                0.93896,                0.69979,                  2.177,                0.82864,                0.73612,                 0.7792,                0.56942,                0.90487,                0.78936,                 2.3548,             0.00077582,             0.00077582,             0.00077582
                     29,                0.93891,                0.71072,                 2.2226,                0.82208,                0.72859,                0.75966,                0.56221,                 0.8996,                0.78352,                 2.3879,             0.00074282,             0.00074282,             0.00074282
                     30,                0.91161,                  0.687,                 2.1353,                0.79397,                0.73782,                0.76929,                0.57796,                0.87702,                0.80163,                 2.3523,             0.00070981,             0.00070981,             0.00070981
